Date Downloaded,County,Demographic,Number with at least one dose,At Least One Dose (%),Completed Series (#),Completed Series (%),Number of adults with at least one dose,% adults w/at least one dose,Adults (18+) who completed the series,% adults completed series,Population,Adult (18+) Population
2021/11/20,Buffalo County,18-24,460,50.7%,429,47.2%,460,50.7%,429,47.2%,908,908
2021/11/20,Buffalo County,25-34,628,46.7%,600,44.6%,628,46.7%,600,44.6%,"1,344","1,344"
2021/11/20,Buffalo County,35-44,852,59.3%,804,56.0%,852,59.3%,804,56.0%,"1,436","1,436"
2021/11/20,Buffalo County,45-54,"1,039",64.4%,"1,007",62.4%,"1,039",64.4%,"1,007",62.4%,"1,614","1,614"
2021/11/20,Buffalo County,55-64,"1,560",74.4%,"1,521",72.5%,"1,560",74.4%,"1,521",72.5%,"2,097","2,097"
2021/11/20,Buffalo County,65+,"2,553",86.0%,"2,491",84.0%,"2,553",86.0%,"2,491",84.0%,"2,967","2,967"
2021/11/20,Burnett County,0-11,0,0.0%,0,0.0%,0,,0,,"1,700",0
2021/11/20,Burnett County,12-15,154,23.7%,131,20.2%,0,,0,,650,0
2021/11/20,Burnett County,16-17,98,29.3%,85,25.4%,0,,0,,334,0
2021/11/20,Burnett County,18-24,287,33.2%,255,29.5%,287,33.2%,255,29.5%,864,864
2021/11/20,Burnett County,25-34,458,37.0%,405,32.7%,458,37.0%,405,32.7%,"1,239","1,239"
2021/11/20,Burnett County,35-44,582,40.9%,536,37.7%,582,40.9%,536,37.7%,"1,422","1,422"
2021/11/20,Burnett County,45-54,879,49.0%,816,45.5%,879,49.0%,816,45.5%,"1,795","1,795"
2021/11/20,Burnett County,55-64,"1,899",65.9%,"1,817",63.0%,"1,899",65.9%,"1,817",63.0%,"2,882","2,882"
2021/11/20,Burnett County,65+,"3,837",84.7%,"3,679",81.3%,"3,837",84.7%,"3,679",81.3%,"4,528","4,528"
2021/11/20,Calumet County,0-11,1,0.0%,0,0.0%,0,,0,,"7,168",0
2021/11/20,Calumet County,12-15,"1,172",39.1%,"1,096",36.6%,0,,0,,"2,996",0
2021/11/20,Calumet County,16-17,665,44.3%,623,41.5%,0,,0,,"1,502",0
2021/11/20,Calumet County,18-24,"2,055",55.0%,"1,923",51.5%,"2,055",55.0%,"1,923",51.5%,"3,735","3,735"
2021/11/20,Calumet County,25-34,"2,780",49.9%,"2,603",46.7%,"2,780",49.9%,"2,603",46.7%,"5,568","5,568"
2021/11/20,Calumet County,35-44,"3,627",53.9%,"3,445",51.2%,"3,627",53.9%,"3,445",51.2%,"6,730","6,730"
2021/11/20,Calumet County,45-54,"4,168",58.3%,"4,014",56.1%,"4,168",58.3%,"4,014",56.1%,"7,149","7,149"
2021/11/20,Calumet County,55-64,"5,175",70.1%,"5,030",68.2%,"5,175",70.1%,"5,030",68.2%,"7,379","7,379"
2021/11/20,Calumet County,65+,"6,812",86.6%,"6,630",84.3%,"6,812",86.6%,"6,630",84.3%,"7,862","7,862"
2021/11/20,Chippewa County,0-11,3,0.0%,1,0.0%,0,,0,,"9,057",0
2021/11/20,Chippewa County,12-15,"1,333",39.4%,"1,249",36.9%,0,,0,,"3,384",0
2021/11/20,Chippewa County,16-17,680,40.1%,647,38.2%,0,,0,,"1,695",0
2021/11/20,Chippewa County,18-24,"2,424",52.3%,"2,252",48.6%,"2,424",52.3%,"2,252",48.6%,"4,632","4,632"
2021/11/20,Chippewa County,25-34,"3,681",45.9%,"3,441",43.0%,"3,681",45.9%,"3,441",43.0%,"8,011","8,011"
2021/11/20,Chippewa County,35-44,"4,428",53.9%,"4,211",51.2%,"4,428",53.9%,"4,211",51.2%,"8,222","8,222"
2021/11/20,Chippewa County,45-54,"4,788",58.9%,"4,603",56.6%,"4,788",58.9%,"4,603",56.6%,"8,133","8,133"
2021/11/20,Chippewa County,55-64,"7,020",73.1%,"6,820",71.0%,"7,020",73.1%,"6,820",71.0%,"9,608","9,608"
2021/11/20,Chippewa County,65+,"10,536",88.4%,"10,276",86.2%,"10,536",88.4%,"10,276",86.2%,"11,916","11,916"
2021/11/20,Clark County,0-11,0,0.0%,0,0.0%,0,,0,,"6,767",0
2021/11/20,Clark County,12-15,328,14.1%,295,12.7%,0,,0,,"2,328",0
2021/11/20,Clark County,16-17,246,21.5%,228,19.9%,0,,0,,"1,145",0
2021/11/20,Clark County,18-24,777,27.1%,721,25.1%,777,27.1%,721,25.1%,"2,869","2,869"
2021/11/20,Clark County,25-34,959,28.1%,885,26.0%,959,28.1%,885,26.0%,"3,410","3,410"
2021/11/20,Clark County,35-44,"1,307",35.9%,"1,240",34.0%,"1,307",35.9%,"1,240",34.0%,"3,644","3,644"
2021/11/20,Clark County,45-54,"1,579",40.4%,"1,510",38.7%,"1,579",40.4%,"1,510",38.7%,"3,905","3,905"
2021/11/20,Clark County,55-64,"2,626",54.9%,"2,569",53.7%,"2,626",54.9%,"2,569",53.7%,"4,781","4,781"
2021/11/20,Clark County,65+,"4,324",73.0%,"4,228",71.4%,"4,324",73.0%,"4,228",71.4%,"5,925","5,925"
2021/11/20,Columbia County,0-11,1,0.0%,1,0.0%,0,,0,,"7,723",0
2021/11/20,Columbia County,12-15,"1,589",54.6%,"1,493",51.3%,0,,0,,"2,912",0
2021/11/20,Columbia County,16-17,836,57.1%,794,54.2%,0,,0,,"1,464",0
2021/11/20,Columbia County,18-24,"2,740",64.8%,"2,504",59.2%,"2,740",64.8%,"2,504",59.2%,"4,231","4,231"
2021/11/20,Columbia County,25-34,"3,915",56.8%,"3,677",53.3%,"3,915",56.8%,"3,677",53.3%,"6,893","6,893"
2021/11/20,Columbia County,35-44,"4,714",65.2%,"4,441",61.5%,"4,714",65.2%,"4,441",61.5%,"7,226","7,226"
2021/11/20,Columbia County,45-54,"5,334",69.3%,"5,091",66.1%,"5,334",69.3%,"5,091",66.1%,"7,698","7,698"
2021/11/20,Columbia County,55-64,"7,047",80.0%,"6,807",77.3%,"7,047",80.0%,"6,807",77.3%,"8,806","8,806"
2021/11/20,Columbia County,65+,"9,755",92.2%,"9,430",89.1%,"9,755",92.2%,"9,430",89.1%,"10,579","10,579"
2021/11/20,Crawford County,0-11,0,0.0%,0,0.0%,0,,0,,"1,965",0
2021/11/20,Crawford County,12-15,300,36.5%,280,34.1%,0,,0,,821,0
2021/11/20,Crawford County,16-17,182,40.7%,165,36.9%,0,,0,,447,0
2021/11/20,Crawford County,18-24,504,43.0%,458,39.0%,504,43.0%,458,39.0%,"1,173","1,173"
2021/11/20,Crawford County,25-34,629,38.2%,583,35.4%,629,38.2%,583,35.4%,"1,646","1,646"
2021/11/20,Crawford County,35-44,948,53.7%,886,50.2%,948,53.7%,886,50.2%,"1,765","1,765"
2021/11/20,Crawford County,45-54,"1,092",57.3%,"1,043",54.8%,"1,092",57.3%,"1,043",54.8%,"1,905","1,905"
2021/11/20,Crawford County,55-64,"1,838",72.3%,"1,793",70.5%,"1,838",72.3%,"1,793",70.5%,"2,542","2,542"
2021/11/20,Crawford County,65+,"3,248",84.0%,"3,151",81.5%,"3,248",84.0%,"3,151",81.5%,"3,867","3,867"
2021/11/20,Dane County,0-11,21,0.0%,16,0.0%,0,,0,,"73,259",0
2021/11/20,Dane County,12-15,"20,675",82.9%,"19,628",78.7%,0,,0,,"24,927",0
2021/11/20,Dane County,16-17,"10,370",85.8%,"9,973",82.5%,0,,0,,"12,082",0
2021/11/20,Dane County,18-24,"50,930",70.0%,"46,721",64.2%,"50,930",70.0%,"46,721",64.2%,"72,739","72,739"
2021/11/20,Dane County,25-34,"74,058",85.8%,"70,134",81.3%,"74,058",85.8%,"70,134",81.3%,"86,315","86,315"
2021/11/20,Dane County,35-44,"67,375",91.0%,"64,482",87.1%,"67,375",91.0%,"64,482",87.1%,"74,007","74,007"
2021/11/20,Dane County,45-54,"55,380",88.9%,"53,370",85.6%,"55,380",88.9%,"53,370",85.6%,"62,324","62,324"
2021/11/20,Dane County,55-64,"57,296",90.6%,"55,406",87.6%,"57,296",90.6%,"55,406",87.6%,"63,271","63,271"
2021/11/20,Dane County,65+,"76,212",98.0%,"73,478",94.5%,"76,212",98.0%,"73,478",94.5%,"77,771","77,771"
2021/11/20,Dodge County,0-11,6,0.1%,0,0.0%,0,,0,,"10,697",0
2021/11/20,Dodge County,12-15,"1,458",34.0%,"1,360",31.7%,0,,0,,"4,284",0
2021/11/20,Dodge County,16-17,895,40.8%,822,37.5%,0,,0,,"2,192",0
2021/11/20,Dodge County,18-24,"2,872",42.5%,"2,637",39.0%,"2,872",42.5%,"2,637",39.0%,"6,764","6,764"
2021/11/20,Dodge County,25-34,"3,964",35.5%,"3,676",32.9%,"3,964",35.5%,"3,676",32.9%,"11,167","11,167"
2021/11/20,Dodge County,35-44,"5,135",45.7%,"4,844",43.1%,"5,135",45.7%,"4,844",43.1%,"11,245","11,245"
2021/11/20,Dodge County,45-54,"6,127",51.7%,"5,852",49.4%,"6,127",51.7%,"5,852",49.4%,"11,850","11,850"
2021/11/20,Dodge County,55-64,"8,916",65.3%,"8,645",63.4%,"8,916",65.3%,"8,645",63.4%,"13,644","13,644"
2021/11/20,Dodge County,65+,"12,896",80.6%,"12,441",77.8%,"12,896",80.6%,"12,441",77.8%,"15,996","15,996"
2021/11/20,Door County,0-11,0,0.0%,0,0.0%,0,,0,,"2,778",0
2021/11/20,Door County,12-15,631,55.4%,596,52.4%,0,,0,,"1,138",0
2021/11/20,Door County,16-17,327,56.3%,309,53.2%,0,,0,,581,0
2021/11/20,Door County,18-24,"1,168",74.9%,"1,091",69.9%,"1,168",74.9%,"1,091",69.9%,"1,560","1,560"
2021/11/20,Door County,25-34,"1,666",70.3%,"1,582",66.7%,"1,666",70.3%,"1,582",66.7%,"2,371","2,371"
2021/11/20,Door County,35-44,"2,000",72.5%,"1,899",68.9%,"2,000",72.5%,"1,899",68.9%,"2,758","2,758"
2021/11/20,Door County,45-54,"2,332",76.0%,"2,228",72.6%,"2,332",76.0%,"2,228",72.6%,"3,068","3,068"
2021/11/20,Door County,55-64,"4,136",83.1%,"3,946",79.3%,"4,136",83.1%,"3,946",79.3%,"4,977","4,977"
2021/11/20,Door County,65+,"8,325",98.7%,"7,828",92.8%,"8,325",98.7%,"7,828",92.8%,"8,437","8,437"
2021/11/20,Douglas County,0-11,3,0.1%,0,0.0%,0,,0,,"5,538",0
2021/11/20,Douglas County,12-15,"1,113",57.5%,"1,033",53.4%,0,,0,,"1,935",0
2021/11/20,Douglas County,16-17,567,58.4%,538,55.4%,0,,0,,971,0
2021/11/20,Douglas County,18-24,"2,118",57.9%,"1,908",52.2%,"2,118",57.9%,"1,908",52.2%,"3,655","3,655"
2021/11/20,Douglas County,25-34,"3,157",58.5%,"2,874",53.2%,"3,157",58.5%,"2,874",53.2%,"5,401","5,401"
2021/11/20,Douglas County,35-44,"3,568",67.0%,"3,320",62.3%,"3,568",67.0%,"3,320",62.3%,"5,329","5,329"
2021/11/20,Douglas County,45-54,"3,595",68.0%,"3,378",63.9%,"3,595",68.0%,"3,378",63.9%,"5,290","5,290"
2021/11/20,Douglas County,55-64,"5,201",77.1%,"4,942",73.3%,"5,201",77.1%,"4,942",73.3%,"6,743","6,743"
2021/11/20,Douglas County,65+,"7,482",90.3%,"7,054",85.1%,"7,482",90.3%,"7,054",85.1%,"8,288","8,288"
2021/11/20,Dunn County,0-11,0,0.0%,0,0.0%,0,,0,,"5,782",0
2021/11/20,Dunn County,12-15,884,42.8%,831,40.2%,0,,0,,"2,065",0
2021/11/20,Dunn County,16-17,477,46.9%,452,44.4%,0,,0,,"1,018",0
2021/11/20,Dunn County,18-24,"2,312",27.6%,"2,161",25.8%,"2,312",27.6%,"2,161",25.8%,"8,370","8,370"
2021/11/20,Dunn County,25-34,"2,443",47.0%,"2,292",44.1%,"2,443",47.0%,"2,292",44.1%,"5,196","5,196"
2021/11/20,Dunn County,35-44,"2,653",52.6%,"2,534",50.2%,"2,653",52.6%,"2,534",50.2%,"5,046","5,046"
2021/11/20,Dunn County,45-54,"2,788",55.8%,"2,692",53.9%,"2,788",55.8%,"2,692",53.9%,"4,992","4,992"
2021/11/20,Dunn County,55-64,"3,647",65.1%,"3,549",63.4%,"3,647",65.1%,"3,549",63.4%,"5,601","5,601"
2021/11/20,Dunn County,65+,"5,817",79.7%,"5,691",78.0%,"5,817",79.7%,"5,691",78.0%,"7,298","7,298"
2021/11/20,Eau Claire County,0-11,6,0.0%,5,0.0%,0,,0,,"14,009",0
2021/11/20,Eau Claire County,12-15,"2,686",56.5%,"2,565",54.0%,0,,0,,"4,750",0
2021/11/20,Eau Claire County,16-17,"1,414",60.8%,"1,346",57.8%,0,,0,,"2,327",0
2021/11/20,Eau Claire County,18-24,"7,371",44.8%,"6,960",42.3%,"7,371",44.8%,"6,960",42.3%,"16,458","16,458"
2021/11/20,Eau Claire County,25-34,"8,837",60.9%,"8,449",58.2%,"8,837",60.9%,"8,449",58.2%,"14,515","14,515"
2021/11/20,Eau Claire County,35-44,"9,039",73.7%,"8,662",70.7%,"9,039",73.7%,"8,662",70.7%,"12,259","12,259"
2021/11/20,Eau Claire County,45-54,"7,475",67.9%,"7,212",65.6%,"7,475",67.9%,"7,212",65.6%,"11,001","11,001"
2021/11/20,Eau Claire County,55-64,"9,268",74.9%,"9,013",72.9%,"9,268",74.9%,"9,013",72.9%,"12,369","12,369"
2021/11/20,Eau Claire County,65+,"14,905",87.9%,"14,507",85.5%,"14,905",87.9%,"14,507",85.5%,"16,958","16,958"
2021/11/20,Florence County,0-11,0,0.0%,0,0.0%,0,,0,,392,0
2021/11/20,Florence County,12-15,43,28.7%,40,26.7%,0,,0,,150,0
2021/11/20,Florence County,16-17,17,23.9%,15,21.1%,0,,0,,71,0
2021/11/20,Florence County,18-24,81,38.9%,74,35.6%,81,38.9%,74,35.6%,208,208
2021/11/20,Florence County,25-34,96,25.1%,91,23.8%,96,25.1%,91,23.8%,383,383
2021/11/20,Florence County,35-44,165,40.8%,151,37.4%,165,40.8%,151,37.4%,404,404
2021/11/20,Florence County,45-54,238,43.4%,233,42.4%,238,43.4%,233,42.4%,549,549
2021/11/20,Florence County,55-64,554,56.8%,533,54.6%,554,56.8%,533,54.6%,976,976
2021/11/20,Florence County,65+,897,77.2%,867,74.6%,897,77.2%,867,74.6%,"1,162","1,162"
2021/11/20,Fond du Lac County,0-11,2,0.0%,2,0.0%,0,,0,,"14,058",0
2021/11/20,Fond du Lac County,12-15,"1,812",34.4%,"1,685",32.0%,0,,0,,"5,264",0
2021/11/20,Fond du Lac County,16-17,"1,041",39.6%,972,36.9%,0,,0,,"2,631",0
2021/11/20,Fond du Lac County,18-24,"4,041",46.2%,"3,699",42.3%,"4,041",46.2%,"3,699",42.3%,"8,750","8,750"
2021/11/20,Fond du Lac County,25-34,"5,658",46.3%,"5,219",42.7%,"5,658",46.3%,"5,219",42.7%,"12,231","12,231"
2021/11/20,Fond du Lac County,35-44,"6,651",52.7%,"6,238",49.4%,"6,651",52.7%,"6,238",49.4%,"12,616","12,616"
2021/11/20,Fond du Lac County,45-54,"7,305",56.4%,"6,987",54.0%,"7,305",56.4%,"6,987",54.0%,"12,945","12,945"
2021/11/20,Fond du Lac County,55-64,"10,464",68.6%,"10,054",65.9%,"10,464",68.6%,"10,054",65.9%,"15,256","15,256"
2021/11/20,Fond du Lac County,65+,"16,144",82.1%,"15,553",79.1%,"16,144",82.1%,"15,553",79.1%,"19,652","19,652"
2021/11/20,Forest County,0-11,0,0.0%,0,0.0%,0,,0,,"1,179",0
2021/11/20,Forest County,12-15,78,20.7%,76,20.2%,0,,0,,377,0
2021/11/20,Forest County,16-17,66,30.3%,60,27.5%,0,,0,,218,0
2021/11/20,Forest County,18-24,218,29.3%,205,27.6%,218,29.3%,205,27.6%,743,743
2021/11/20,Forest County,25-34,338,36.1%,309,33.0%,338,36.1%,309,33.0%,937,937
2021/11/20,Forest County,35-44,389,46.0%,372,44.0%,389,46.0%,372,44.0%,845,845
2021/11/20,Forest County,45-54,562,51.4%,536,49.0%,562,51.4%,536,49.0%,"1,094","1,094"
2021/11/20,Forest County,55-64,"1,018",66.4%,983,64.1%,"1,018",66.4%,983,64.1%,"1,533","1,533"
2021/11/20,Forest County,65+,"1,708",82.2%,"1,637",78.8%,"1,708",82.2%,"1,637",78.8%,"2,078","2,078"
2021/11/20,Grant County,0-11,2,0.0%,0,0.0%,0,,0,,"6,913",0
2021/11/20,Grant County,12-15,912,36.3%,846,33.7%,0,,0,,"2,510",0
2021/11/20,Grant County,16-17,533,43.4%,499,40.7%,0,,0,,"1,227",0
2021/11/20,Grant County,18-24,"1,867",20.9%,"1,721",19.3%,"1,867",20.9%,"1,721",19.3%,"8,931","8,931"
2021/11/20,Grant County,25-34,"2,453",44.0%,"2,299",41.2%,"2,453",44.0%,"2,299",41.2%,"5,575","5,575"
2021/11/20,Grant County,35-44,"2,774",52.4%,"2,635",49.7%,"2,774",52.4%,"2,635",49.7%,"5,298","5,298"
2021/11/20,Grant County,45-54,"2,955",57.4%,"2,837",55.1%,"2,955",57.4%,"2,837",55.1%,"5,146","5,146"
2021/11/20,Grant County,55-64,"4,507",66.7%,"4,342",64.2%,"4,507",66.7%,"4,342",64.2%,"6,760","6,760"
2021/11/20,Grant County,65+,"8,144",89.7%,"7,900",87.0%,"8,144",89.7%,"7,900",87.0%,"9,079","9,079"
2021/11/20,Green County,0-11,0,0.0%,0,0.0%,0,,0,,"5,075",0
2021/11/20,Green County,12-15,"1,083",51.4%,"1,033",49.0%,0,,0,,"2,107",0
2021/11/20,Green County,16-17,569,58.4%,539,55.3%,0,,0,,975,0
2021/11/20,Green County,18-24,"1,424",57.2%,"1,350",54.3%,"1,424",57.2%,"1,350",54.3%,"2,488","2,488"
2021/11/20,Green County,25-34,"2,277",56.3%,"2,172",53.7%,"2,277",56.3%,"2,172",53.7%,"4,041","4,041"
2021/11/20,Green County,35-44,"2,821",63.1%,"2,687",60.1%,"2,821",63.1%,"2,687",60.1%,"4,473","4,473"
2021/11/20,Green County,45-54,"3,162",64.4%,"3,074",62.6%,"3,162",64.4%,"3,074",62.6%,"4,910","4,910"
2021/11/20,Green County,55-64,"4,295",74.4%,"4,180",72.4%,"4,295",74.4%,"4,180",72.4%,"5,773","5,773"
2021/11/20,Green County,65+,"6,214",87.3%,"6,065",85.2%,"6,214",87.3%,"6,065",85.2%,"7,118","7,118"
2021/11/20,Green Lake County,0-11,0,0.0%,0,0.0%,0,,0,,"2,639",0
2021/11/20,Green Lake County,12-15,292,29.7%,265,27.0%,0,,0,,982,0
2021/11/20,Green Lake County,16-17,176,33.8%,163,31.3%,0,,0,,520,0
2021/11/20,Green Lake County,18-24,616,45.1%,572,41.9%,616,45.1%,572,41.9%,"1,366","1,366"
2021/11/20,Green Lake County,25-34,797,44.6%,738,41.3%,797,44.6%,738,41.3%,"1,789","1,789"
2021/11/20,Green Lake County,35-44,"1,027",50.8%,976,48.3%,"1,027",50.8%,976,48.3%,"2,021","2,021"
2021/11/20,Green Lake County,45-54,"1,254",56.2%,"1,185",53.1%,"1,254",56.2%,"1,185",53.1%,"2,231","2,231"
2021/11/20,Green Lake County,55-64,"2,223",72.9%,"2,146",70.3%,"2,223",72.9%,"2,146",70.3%,"3,051","3,051"
2021/11/20,Green Lake County,65+,"3,653",84.7%,"3,517",81.5%,"3,653",84.7%,"3,517",81.5%,"4,314","4,314"
2021/11/20,Iowa County,0-11,1,0.0%,1,0.0%,0,,0,,"3,358",0
2021/11/20,Iowa County,12-15,737,57.0%,691,53.5%,0,,0,,"1,292",0
2021/11/20,Iowa County,16-17,373,59.0%,357,56.5%,0,,0,,632,0
2021/11/20,Iowa County,18-24,"1,062",66.6%,988,61.9%,"1,062",66.6%,988,61.9%,"1,595","1,595"
2021/11/20,Iowa County,25-34,"1,612",64.2%,"1,522",60.6%,"1,612",64.2%,"1,522",60.6%,"2,512","2,512"
2021/11/20,Iowa County,35-44,"1,925",69.1%,"1,832",65.7%,"1,925",69.1%,"1,832",65.7%,"2,787","2,787"
2021/11/20,Iowa County,45-54,"2,193",71.4%,"2,124",69.1%,"2,193",71.4%,"2,124",69.1%,"3,073","3,073"
2021/11/20,Iowa County,55-64,"3,186",83.4%,"3,111",81.5%,"3,186",83.4%,"3,111",81.5%,"3,819","3,819"
2021/11/20,Iowa County,65+,"4,260",92.4%,"4,127",89.5%,"4,260",92.4%,"4,127",89.5%,"4,610","4,610"
2021/11/20,Iron County,0-11,0,0.0%,0,0.0%,0,,0,,517,0
2021/11/20,Iron County,12-15,88,38.9%,86,38.1%,0,,0,,226,0
2021/11/20,Iron County,16-17,53,46.9%,50,44.2%,0,,0,,113,0
2021/11/20,Iron County,18-24,146,50.9%,135,47.0%,146,50.9%,135,47.0%,287,287
2021/11/20,Iron County,25-34,211,46.3%,193,42.3%,211,46.3%,193,42.3%,456,456
2021/11/20,Iron County,35-44,292,55.5%,272,51.7%,292,55.5%,272,51.7%,526,526
2021/11/20,Iron County,45-54,400,60.2%,391,58.8%,400,60.2%,391,58.8%,665,665
2021/11/20,Iron County,55-64,797,74.2%,767,71.4%,797,74.2%,767,71.4%,"1,074","1,074"
2021/11/20,Iron County,65+,"1,440",79.0%,"1,404",77.0%,"1,440",79.0%,"1,404",77.0%,"1,823","1,823"
2021/11/20,Jackson County,0-11,0,0.0%,0,0.0%,0,,0,,"2,940",0
2021/11/20,Jackson County,12-15,421,41.2%,402,39.3%,0,,0,,"1,022",0
2021/11/20,Jackson County,16-17,218,40.8%,208,39.0%,0,,0,,534,0
2021/11/20,Jackson County,18-24,659,44.2%,613,41.1%,659,44.2%,613,41.1%,"1,492","1,492"
2021/11/20,Jackson County,25-34,968,38.0%,900,35.3%,968,38.0%,900,35.3%,"2,547","2,547"
2021/11/20,Jackson County,35-44,"1,163",48.3%,"1,110",46.1%,"1,163",48.3%,"1,110",46.1%,"2,406","2,406"
2021/11/20,Jackson County,45-54,"1,334",50.5%,"1,282",48.5%,"1,334",50.5%,"1,282",48.5%,"2,644","2,644"
2021/11/20,Jackson County,55-64,"1,963",63.7%,"1,908",61.9%,"1,963",63.7%,"1,908",61.9%,"3,083","3,083"
2021/11/20,Jackson County,65+,"3,001",75.5%,"2,902",73.0%,"3,001",75.5%,"2,902",73.0%,"3,975","3,975"
